,countyCode,County,State,county_state,total_coverage,total_claims,mean_total_coverage,mean_total_claims
23,01049,DeKalb,AL,"DeKalb County, AL",5375200.0,1038204.25,134380.0,25955.10625
24,01051,Elmore,AL,"Elmore County, AL",9599300.0,804782.07,152369.84126984127,12774.31857142857
25,01053,Escambia,AL,"Escambia County, AL",57779000.0,14205414.05,149299.7416020672,36706.496253229976
26,01055,Etowah,AL,"Etowah County, AL",11580800.0,783677.0700000001,90475.0,6122.4771093750005
27,01059,Franklin,AL,"Franklin County, AL",480800.0,52093.23,120200.0,13023.3075
28,01061,Geneva,AL,"Geneva County, AL",12917300.0,2807808.91,82803.20512820513,17998.775064102567
29,01063,Greene,AL,"Greene County, AL",11333000.0,1710879.37,85210.52631578948,12863.754661654137
30,01065,Hale,AL,"Hale County, AL",7710000.0,952967.28,64250.0,7941.394
31,01067,Henry,AL,"Henry County, AL",1614200.0,188995.36,94952.9411764706,11117.37411764706
32,01069,Houston,AL,"Houston County, AL",26783400.0,3622218.91,149627.93296089384,20235.859832402235
33,01071,Jackson,AL,"Jackson County, AL",7329400.0,743775.75,99045.94594594596,10051.023648648648
34,01073,Jefferson,AL,"Jefferson County, AL",376628100.0,48393868.65,128849.84604858022,16556.232860075266
35,01075,Lamar,AL,"Lamar County, AL",513900.0,66572.15,36707.142857142855,4755.153571428571
