,countyCode,County,State,county_state,total_coverage
354,12133,Washington,FL,"Washington County, FL","$18,986,400"
355,13001,Appling,GA,"Appling County, GA","$2,330,000"
356,13003,Atkinson,GA,"Atkinson County, GA","$46,200"
357,13007,Baker,GA,"Baker County, GA","$2,692,100"
358,13009,Baldwin,GA,"Baldwin County, GA","$1,245,000"
359,13011,Banks,GA,"Banks County, GA","$445,200"
360,13013,Barrow,GA,"Barrow County, GA","$2,806,100"
361,13015,Bartow,GA,"Bartow County, GA","$7,885,100"
362,13017,Ben Hill,GA,"Ben Hill County, GA","$1,593,900"
363,13019,Berrien,GA,"Berrien County, GA","$280,000"
364,13021,Bibb,GA,"Bibb County, GA","$32,109,400"
365,13023,Bleckley,GA,"Bleckley County, GA","$250,000"
366,13025,Brantley,GA,"Brantley County, GA","$1,944,000"
367,13027,Brooks,GA,"Brooks County, GA","$1,746,400"
368,13029,Bryan,GA,"Bryan County, GA","$48,816,800"
369,13031,Bulloch,GA,"Bulloch County, GA","$16,501,700"
370,13033,Burke,GA,"Burke County, GA","$280,000"
371,13035,Butts,GA,"Butts County, GA","$6,124,200"
372,13037,Calhoun,GA,"Calhoun County, GA","$249,000"
373,13039,Camden,GA,"Camden County, GA","$65,514,300"
374,13043,Candler,GA,"Candler County, GA","$177,500"
375,13045,Carroll,GA,"Carroll County, GA","$15,896,900"
376,13047,Catoosa,GA,"Catoosa County, GA","$30,645,800"
377,13049,Charlton,GA,"Charlton County, GA","$3,691,900"
378,13051,Chatham,GA,"Chatham County, GA","$996,012,900"
379,13053,Chattahoochee,GA,"Chattahoochee County, GA","$26,600"
380,13055,Chattooga,GA,"Chattooga County, GA","$4,689,700"
381,13057,Cherokee,GA,"Cherokee County, GA","$24,917,700"
382,13059,Clarke,GA,"Clarke County, GA","$3,236,800"
383,13063,Clayton,GA,"Clayton County, GA","$32,334,200"
384,13065,Clinch,GA,"Clinch County, GA","$781,000"
385,13067,Cobb,GA,"Cobb County, GA","$378,870,200"
386,13069,Coffee,GA,"Coffee County, GA","$4,758,300"
387,13071,Colquitt,GA,"Colquitt County, GA","$7,567,600"
388,13073,Columbia,GA,"Columbia County, GA","$28,192,900"
389,13075,Cook,GA,"Cook County, GA","$683,000"
390,13077,Coweta,GA,"Coweta County, GA","$5,524,600"
391,13081,Crisp,GA,"Crisp County, GA","$10,027,500"
392,13083,Dade,GA,"Dade County, GA","$699,100"
393,13085,Dawson,GA,"Dawson County, GA","$182,000"
394,13087,Decatur,GA,"Decatur County, GA","$25,123,600"
395,13089,DeKalb,GA,"DeKalb County, GA","$346,022,100"
396,13091,Dodge,GA,"Dodge County, GA","$140,000"
397,13093,Dooly,GA,"Dooly County, GA","$1,261,000"
398,13095,Dougherty,GA,"Dougherty County, GA","$95,308,800"
399,13097,Douglas,GA,"Douglas County, GA","$24,004,500"
400,13099,Early,GA,"Early County, GA","$4,318,800"
401,13103,Effingham,GA,"Effingham County, GA","$8,597,000"
402,13105,Elbert,GA,"Elbert County, GA","$162,000"
403,13107,Emanuel,GA,"Emanuel County, GA","$147,500"
404,13109,Evans,GA,"Evans County, GA","$350,000"
405,13111,Fannin,GA,"Fannin County, GA","$19,359,800"
406,13113,Fayette,GA,"Fayette County, GA","$26,265,200"
407,13115,Floyd,GA,"Floyd County, GA","$35,945,400"
408,13117,Forsyth,GA,"Forsyth County, GA","$17,116,600"
409,13119,Franklin,GA,"Franklin County, GA","$350,000"
410,13121,Fulton,GA,"Fulton County, GA","$595,262,400"
411,13123,Gilmer,GA,"Gilmer County, GA","$36,169,200"
412,13127,Glynn,GA,"Glynn County, GA","$593,942,800"
413,13129,Gordon,GA,"Gordon County, GA","$8,565,600"
414,13131,Grady,GA,"Grady County, GA","$2,452,200"
415,13133,Greene,GA,"Greene County, GA","$350,000"
416,13135,Gwinnett,GA,"Gwinnett County, GA","$108,972,900"
417,13137,Habersham,GA,"Habersham County, GA","$8,468,000"
418,13139,Hall,GA,"Hall County, GA","$8,594,100"
419,13143,Haralson,GA,"Haralson County, GA","$40,300"
420,13145,Harris,GA,"Harris County, GA","$2,518,600"
421,13147,Hart,GA,"Hart County, GA","$350,000"
422,13149,Heard,GA,"Heard County, GA","$161,400"
423,13151,Henry,GA,"Henry County, GA","$13,812,600"
424,13153,Houston,GA,"Houston County, GA","$24,350,300"
425,13155,Irwin,GA,"Irwin County, GA","$120,000"
426,13157,Jackson,GA,"Jackson County, GA","$994,400"
427,13159,Jasper,GA,"Jasper County, GA","$1,373,400"
428,13161,Jeff Davis,GA,"Jeff Davis County, GA","$941,200"
429,13163,Jefferson,GA,"Jefferson County, GA","$45,000"
430,13165,Jenkins,GA,"Jenkins County, GA","$668,000"
431,13167,Johnson,GA,"Johnson County, GA","$69,200"
432,13169,Jones,GA,"Jones County, GA","$1,076,900"
433,13171,Lamar,GA,"Lamar County, GA","$60,000"
434,13173,Lanier,GA,"Lanier County, GA","$275,000"
435,13175,Laurens,GA,"Laurens County, GA","$4,874,500"
436,13177,Lee,GA,"Lee County, GA","$95,373,000"
437,13179,Liberty,GA,"Liberty County, GA","$29,284,900"
438,13183,Long,GA,"Long County, GA","$1,120,000"
439,13185,Lowndes,GA,"Lowndes County, GA","$12,316,400"
440,13187,Lumpkin,GA,"Lumpkin County, GA","$3,489,300"
